gene_id,symbol,biotype,log2FoldChange,lfcSE,pvalue,padj,WT_mean,KO_mean
HVO_RS20590,HVO_RS20590,pseudogene,0.068490536036315,0.0775954412411696,0.215990578291919,0.427023995770581,245.925367375932,269.689421732496
HVO_RS09680,HVO_RS09680,protein_coding,0.0552598726462861,0.0511503724146281,0.216262684063053,0.427328449448457,4536.46936688093,4768.06358174247
HVO_RS10945,HVO_RS10945,protein_coding,-0.0655380453156769,0.0681811714908161,0.2168093861667,0.427771040689511,504.927730499751,469.326377281635
HVO_RS05470,HVO_RS05470,protein_coding,-0.0688785927634203,0.0868527001783029,0.216824345186209,0.427771040689511,210.503954762346,187.923726761293
HVO_RS00665,HVO_RS00665,protein_coding,-0.0613485044807698,0.0600176094359168,0.216841373306955,0.427771040689511,1155.09412554169,1085.56928850898
HVO_RS01420,HVO_RS01420,protein_coding,-0.0674378488137294,0.0948162799377635,0.2173316552603,0.428286719910091,131.949473152333,115.266728535004
HVO_RS21430,HVO_RS21430,protein_coding,-0.0683727289902398,0.0782187070899477,0.217464062257606,0.428286719910091,587.412229795803,536.470562689625
HVO_RS20165,HVO_RS20165,protein_coding,-0.0686761294049993,0.0805301471040595,0.217469543648442,0.428286719910091,1928.92504306034,1751.55925829031
HVO_RS14890,HVO_RS14890,protein_coding,-0.0671209507107336,0.0958086749580158,0.217576282806729,0.428286719910091,125.905101366269,110.244654545029
HVO_RS11320,HVO_RS11320,protein_coding,0.0546321570992476,0.0506909374723668,0.218499744344606,0.42987062264208,5920.33133384994,6215.77049003533
HVO_RS17050,HVO_RS17050,protein_coding,-0.0536568672573032,0.0495302993755368,0.218937219785931,0.430497207166032,99044.474742654,94466.4372601153
HVO_RS16560,HVO_RS16560,protein_coding,0.0604715133061691,0.0591008557464715,0.219220809794158,0.430820689752995,2206.59476423217,2342.27696369344
HVO_RS06715,HVO_RS06715,protein_coding,0.0681222030703453,0.0786444358685012,0.219552304527219,0.431122648862733,17719.8585018545,19424.1348120602
HVO_RS21155,HVO_RS21155,pseudogene,-0.0662836061690582,0.0712143347136367,0.219612781054178,0.431122648862733,594.254554659643,549.06453718102
HVO_RS00705,HVO_RS00705,protein_coding,-0.060980059723856,0.0600531840879161,0.219766270194081,0.431190003016369,1091.80906018897,1026.43587101003
HVO_RS01575,HVO_RS01575,protein_coding,0.0681333223633366,0.0893859773495606,0.219909835230097,0.431237823231703,132.826089260958,149.394870619322
HVO_RS06430,HVO_RS06430,protein_coding,-0.0504104525623598,0.0458121000701895,0.220136131126442,0.431447736953124,2792.84596018349,2676.25224526874
